AircraftId,Date,AircraftType,Origin,Destination,DepartureAEST,ArrivalAEST,Duration,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Leinster (LER / YLST),Wiluna (WUN / YWLU),6:42 pm,7:09 pm,27,,,,,,,,,,,,,,,,,,,
FD449,5/7/2022,B350,Rockhampton (ROK / YBRK),Gladstone (GLT / YGLA),6:59 pm,7:14 pm,15,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Wiluna (WUN / YWLU),Meekatharra (MKR / YMEK),7:32 pm,8:00 pm,28,,,,,,,,,,,,,,,,,,,
FD449,5/7/2022,B350,Gladstone (GLT / YGLA),Brisbane (BNE / YBBN),7:48 pm,8:45 pm,57,,,,,,,,,,,,,,,,,,,
FD619,5/7/2022,PC12,Geraldton (GET / YGEL),Meekatharra (MKR / YMEK),8:12 pm,9:12 pm,60,,,,,,,,,,,,,,,,,,,
AM273,5/7/2022,B350,Canberra Int'l (CBR / YSCB),Sydney (SYD / YSSY),8:18 pm,9:00 pm,42,,,,,,,,,,,,,,,,,,,
FD629,5/7/2022,PC12,Meekatharra (MKR / YMEK),Jandakot (JAD / YPJT),8:22 pm,10:19 pm,117,,,,,,,,,,,,,,,,,,,
FD596,5/7/2022,PC12,Mount Gambier (MGB / YMTG),Adelaide Int'l (ADL / YPAD),8:33 pm,9:35 pm,62,,,,,,,,,,,,,,,,,,,
FD416,5/7/2022,BE20,Mount Isa (ISA / YBMA),Townsville Int'l / RAAF (TSV / YBTL),8:47 pm,10:22 pm,95,,,,,,,,,,,,,,,,,,,
FD849,5/7/2022,PC12,Alice Springs (ASP / YBAS),Ayers Rock (AYQ / YAYE),9:31 pm,10:32 pm,61,,,,,,,,,,,,,,,,,,,
FD480,5/7/2022,B350,Townsville Int'l / RAAF (TSV / YBTL),Hughenden (HGD / YHUG),9:46 pm,10:40 pm,54,,,,,,,,,,,,,,,,,,,
FD278,5/7/2022,BE20,Broken Hill (BHQ / YBHI),Ivanhoe (YIVO),10:18 pm,11:07 pm,49,,,,,,,,,,,,,,,,,,,
FD449,5/7/2022,B350,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),10:32 pm,12:05 am,93,,,,,,,,,,,,,,,,,,,
